1CagePosition,1Stance,1StrikeAbsorbed,1StrikeLanded,1TopCombo,2StrikeAbsorbed,2StrikeLanded,2TopCombo,3StrikeAbsorbed,3StrikeLanded,3TopCombo,BodyABS,BodyLocksPer25,BodyTargeting,ChinGrade,Company,DefensiveGrade,DoubleLegsPer25,FighterGrade,FightsTracked,GrapplingGrade,HeadABS,HeadTargeting,HighImpactDropPercent,HighImpactDroppedPercent,HighImpactStrikePercent,HighImpactStunPercent,HighImpactStunnedPercent,Image,KickLandRate,KickLandRateAV,KickPlusMinus,KickingGrade,KicksLPM,KicksTPM,KnockdownsPer25,KnockdownsPer25AV,LastFighterGrade,LeftBodyKick,LeftHandABS,LeftHandThrowPercent,LeftHiKick,LeftHookHiMake,LeftHookLoMake,LeftJabHiMake,LeftJabLoMake,LeftLegKick,LeftOverhandMake,LeftStraightHiMake,LeftStraightLoMake,LegABS,LegTargeting,LowImpactStrikePercent,MinutesTracked,OrthodoxOppBodyKicks,OrthodoxOppHeadKicks,OrthodoxOppHooks,OrthodoxOppJabs,OrthodoxOppLegKicks,OrthodoxOppOverhands,OrthodoxOppStraights,OrthodoxOppUppercuts,PunchLandRate,PunchLandRateAV,PunchPlusMinus,PunchesLPM,PunchesTPM,RecordAgainstOrthodox,RecordAgainstSouthpaw,RecordAgainstSwitch,RightBodyKick,RightHandABS,RightHandThrowPercent,RightHiKick,RightHookHiMake,RightHookLoMake,RightJabHiMake,RightJabLoMake,RightLegKick,RightOverhandMake,RightStraightHiMake,RightStraightLoMake,Round1Output,Round1StrikesLanded,Round2Output,Round2StrikesLanded,Round3Output,Round3StrikesLanded,Round4Output,Round4StrikesLanded,Round5Output,Round5StrikesLanded,RoundsTracked,SingleLegsPer25,SouthpawOppBodyKicks,SouthpawOppHeadKicks,SouthpawOppHooks,SouthpawOppJabs,SouthpawOppLegKicks,SouthpawOppOverhands,SouthpawOppStraights,SouthpawOppUppercuts,StrikeLandRate,StrikeLandRateAV,StrikePlusMinus,StrikesLPM,StrikesTPM,StrikingGrade,StunsPer25,StunsPer25AV,SubAttemptsPer25,SubAttemptsPer25AV,SwitchOppBodyKicks,SwitchOppHeadKicks,SwitchOppHooks,SwitchOppJabs,SwitchOppLegKicks,SwitchOppOverhands,SwitchOppStraights,SwitchOppUppercuts,TDDefense,TakedownRate,TakedownRateAV,ThrowsPer25,TimesBodyLocksPer25,TimesDoubleLegsPer25,TimesKnockedDownPer25,TimesKnockedDownPer25AV,TimesSingleLegsPer25,TimesStunnedPer25,TimesStunnedPer25AV,TimesThrowsPer25,TimesTripsPer25,TotalClinchStrikesToTheBody,TotalClinchStrikesToTheHead,TotalElbows,TotalGroundStrikesToTheBody,TotalGroundStrikesToTheHead,TripsPer25,_id,clinchPOSStrikes,draw,fer,fighterCode,fighterName,gender,grapplingGameplans,groundPOSStrikes,height,kickapm,loopingPunches,loopingPunchesAbs,loss,nickname,offensiveRating,origin,punchapm,reach,searchFights,standingPOSStrikes,straightPunches,straightPunchesAbs,strikeapm,strikingGameplans,weight,wins
Moving Backwards,Orthodox,Hooks,Right Hook to Head,No Data,Crosses,Left Jab to Head,No Data,Jabs,Left Hook to Head,No Data,0,0,20%,0,UFC,0,0,0,4,0,0,63%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-11/FREVOLA_MATT_11-12.png,54.8%,66.0%,7,0,0.8,1.6,8.8,0.7,0,1.4%,0,56%,0.0%,6.9%,2.1%,6.9%,0.7%,1.4%,0.0%,0.0%,0.0%,0,17%,0,20,0,0,0,0,0,0,0,0,41.3%,41.7%,-7,2.1,5.2,2-0,0-1,1-0,3.5%,0,44%,0.0%,7.6%,0.0%,0.7%,0.0%,5.6%,0.7%,3.5%,0.7%,78%,77.8%,10%,10.5%,12%,11.8%,0%,0.0%,0%,0.0%,6,6.2,0,0,0,0,0,0,0,0,63.7%,52.9%,0,7.2,11.3,0,1.2,1.1,3.8,1.2,0,0,0,0,0,0,0,0,0%,31.2%,,0,0,0,1.2,0.6,0,3.8,1.1,0,0,0.0%,0.0%,0.0%,2.1%,56.2%,0,6480bbda59b391b3ca0a19a5,0%,1,55.9,MattFrevolaThe Steamrolla,Matt Frevola,Male,1,58%,"5'9""",0.5,58%,46%,3,The Steamrolla,170.8,"Huntington, United States",2.5,71,https://www.fightstats.xyz/search?q=Matt Frevola,42%,42%,54%,3,3,Lightweight,11
Center Octagon,Orthodox,Leg Kicks,Left Jab to Head,No Data,Hooks,Right Straight to Head,No Data,Jabs,Right Leg Kick,No Data,0,0,22%,0,UFC,0,0.1,0,7,0,0,62%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2614933.png&w=350&h=254,55.1%,57.5%,-81,0,1,1.8,0.4,0.5,0,0.3%,0,55%,0.3%,6.8%,2.4%,25.4%,2.0%,6.2%,0.0%,1.8%,0.0%,0,16%,0,175,31,8,139,204,93,0,91,30,34.6%,39.7%,195,3.3,9.7,2-2,1-0,1-0,5.0%,0,45%,0.8%,5.7%,7.1%,3.3%,0.8%,9.9%,0.0%,10.5%,2.6%,15%,15.2%,20%,20.5%,19%,19.4%,24%,24.3%,21%,20.6%,35,0,16,0,10,35,23,0,19,1,39.1%,47.4%,114,4.6,11.9,0,1,0.7,0.3,1.2,3,1,33,37,24,0,21,1,98%,33.3%,,0,0,0.1,0,0.5,0.1,0,0.6,0,0.4,0.1%,1.1%,3.3%,0.3%,4.5%,0.1,6480bbda59b391b3ca0a19a6,1%,0,35.2,MaxHollowayBlessed,Max Holloway,Male,0,5%,"5'11""",1.5,32%,46%,7,Blessed,109.2,"Waianae, United States",2.2,69,https://www.fightstats.xyz/search?q=Max Holloway,94%,68%,54%,3.6,6,Featherweight,24
Pressuring,Orthodox,Jabs,Left Jab to Head,LeftJabHi + RightHookHi + LeftHookHi,Leg Kicks,Right Straight to Head,No Data,Hooks,Right Leg Kick,No Data,0,2.5,16%,0,UFC,0,2.5,0,7,0,0,66%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3948572.png,45.7%,63.9%,48,0,0.9,2,0,0.7,0,0.9%,0,57%,0.0%,3.1%,0.1%,12.7%,0.3%,3.1%,0.0%,0.3%,0.0%,0,18%,0,109,0,0,0,0,0,0,0,0,30.0%,33.4%,79,2.2,7.5,2-0,1-0,4-0,4.3%,0,43%,0.4%,2.5%,0.6%,0.1%,0.0%,6.4%,0.6%,8.0%,0.1%,32%,32.2%,37%,37.3%,21%,20.7%,5%,4.5%,5%,5.2%,22,3,0,0,0,0,0,0,0,0,47.9%,45.2%,127,6.6,13.8,0,0.5,0.7,0.5,1.1,0,0,0,0,0,0,0,0,93%,33.8%,,0.2,0,0.5,0.2,0.6,0.2,0.5,0.7,0,0,1.9%,4.9%,1.2%,10.8%,37.7%,2.5,6480bbdb59b391b3ca0a19a7,6%,0,59.6,MerabDvalishviliThe Machine,Merab Dvalishvili,Male,6,45%,"5'6""",0.5,24%,31%,4,The Machine,180.3,"Tbilisi, Georgia",1.1,68,https://www.fightstats.xyz/search?q=Merab Dvalishvili,48%,76%,69%,1.6,1,Bantamweight,16
Center Octagon,Switch,Hooks,Left Jab to Head,No Data,Leg Kicks,Right Hook to Head,No Data,Jabs,Right Leg Kick,No Data,0,1.2,16%,0,UFC,0,0,0,2,0,0,73%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-05/b2402ab0-3642-4e6c-9afc-20dfdb604179%252FCHANDLER_MICHAEL_05-07.png,73.7%,66.0%,-22,0,0.7,0.9,0,0.7,0,0.0%,0,53%,0.0%,4.5%,0.8%,30.3%,2.3%,0.0%,0.0%,1.5%,0.0%,0,11%,0,20,1,0,26,44,13,2,18,12,41.0%,41.7%,7,5.1,12.4,0-2,0-0,0-0,0.8%,0,47%,0.0%,10.6%,3.8%,0.8%,0.0%,9.8%,1.5%,8.3%,3.8%,60%,59.9%,20%,20.4%,20%,19.7%,0%,0.0%,0%,0.0%,5,0,0,0,0,0,0,0,0,0,47.3%,52.9%,-15,7,14.8,0,6.2,1.1,1.2,1.2,0,0,0,0,0,0,0,0,0%,10.0%,,0,1.2,1.2,2.5,0.6,0,8.8,1.1,0,0,0.0%,0.0%,3.0%,0.8%,17.4%,0,6480bbdb59b391b3ca0a19a8,0%,0,51.6,MichaelChandlerIron,Michael Chandler,Male,0,17%,"5'8""",1.8,31%,53%,8,Iron,161.8,"High Ridge, United States",4.8,71,https://www.fightstats.xyz/search?q=Michael Chandler,83%,69%,47%,6.5,2,Lightweight,23
Moving Backwards,Switch,Hooks,Left Jab to Head,RightUppercutHi + RightStraightHi + LeftHookHi,Crosses,Right Straight to Head,LeftHookLo + RightHookLo + RightStraightHi,Jabs,Left Hook to Head,LeftStraightHi + RightStraightHi + LeftHookHi,0,0,12%,0,BKFC,0,0,0,1,0,0,88%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3022067.png&w=350&h=254,0%,63.0%,0,0,0,0,0,0.7,0,0.0%,0,53%,0.0%,15.0%,1.7%,25.0%,3.3%,0.0%,0.0%,6.7%,0.0%,0,0%,0,30,0,0,14,19,0,1,18,6,48.9%,41.4%,30,2.2,4.5,0-1,0-0,0-0,0.0%,0,47%,0.0%,6.7%,0.0%,3.3%,0.0%,0.0%,1.7%,21.7%,1.7%,14%,14.3%,27%,26.5%,14%,14.3%,27%,26.5%,18%,18.4%,6,0,0,0,0,0,0,0,0,0,49.3%,51.2%,30,2.5,5,0,0.8,0.7,0,1.2,0,0,0,0,0,0,0,0,0%,0%,,0,0,0,0.8,0.7,0,0,0.7,0,0,6.7%,6.7%,0.0%,0.0%,0.0%,0,6480bbdc59b391b3ca0a19a9,11%,0,11.5,MichaelPageVenom,Michael Page,Male,0,0%,"6'3""",0,29%,44%,2,Venom,35.4,"London, England",0.9,79,https://www.fightstats.xyz/search?q=Michael Page,89%,71%,56%,0.9,1,Middleweight,21
Pressuring,Orthodox,Jabs,Left Jab to Head,LeftHookHi + RightOverhand + LeftHookHi,Hooks,Right Hook to Head,LeftJabHi + RightUppercutHi + LeftJabHi + RightOverhand,Crosses,Left Hook to Head,LeftUppercutHi + RightUppercutHi + LeftHookHi,0,0,30%,0,BKFC,0,0,0,4,0,0,68%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2021-04/68841%252Fprofile-galery%252Fprofile-picture%252FPERRY_MIKE_04-10.png?VersionId=null,66.7%,63.0%,-1,0,0.1,0.1,0.8,0.7,0,0.8%,0,56%,0.0%,9.8%,3.0%,19.5%,1.5%,0.8%,0.0%,0.8%,0.0%,0,1%,0,62,0,0,0,0,0,0,0,0,39.1%,41.4%,-36,2.2,5.5,0-0,1-1,2-0,0.8%,0,44%,0.0%,10.5%,6.8%,0.8%,0.0%,0.8%,3.0%,6.0%,0.8%,36%,36.4%,23%,23.1%,13%,13.2%,15%,14.9%,12%,12.4%,14,0,2,0,9,6,2,1,1,0,45.1%,51.2%,-37,3,6.6,0,1.2,0.7,0,1.2,0,0,31,23,0,3,9,5,0%,0%,,0,0,0,0.4,0.7,0,2.4,0.7,0,0,18.0%,16.5%,0.0%,0.0%,0.0%,0,6480bbdd59b391b3ca0a19aa,25%,0,13.4,MikePerryPlatinum,Mike Perry,Male,0,0%,"5'10""",0.1,53%,37%,8,Platinum,42.3,"Flint, United States",2,71,https://www.fightstats.xyz/search?q=Mike Perry,75%,47%,63%,2.1,4,Middleweight,14
Center Octagon,Southpaw,Jabs,Right Jab to Head,No Data,Hooks,Left Straight to Head,No Data,Crosses,Left Hook to Head,No Data,0,0,12%,0,UFC,0,2.5,0,5,0,0,69%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-10/CIRKUNOV_MISHA_10-15.png,62.5%,62.9%,9,0,1,1.6,0,0.8,0,6.0%,0,41%,0.0%,8.0%,0.0%,2.0%,0.0%,6.0%,0.0%,8.0%,0.0%,0,19%,0,10,2,0,3,5,2,0,2,0,37.5%,41.0%,8,2.4,6.4,1-4,0-0,0-0,2.0%,0,59%,0.0%,8.0%,0.0%,12.0%,0.0%,6.0%,0.0%,6.0%,0.0%,100%,100.0%,0%,0.0%,0%,0.0%,0%,0.0%,0%,0.0%,5,0,0,0,0,0,0,0,0,0,50.5%,52.1%,17,5.2,10.3,0,0,1,2.5,1.1,0,0,0,0,0,0,0,0,0%,25.0%,,0,5,0,10,0.9,0,0,1.1,0,0,0.0%,0.0%,0.0%,8.0%,28.0%,2.5,6480bbdd59b391b3ca0a19ab,0%,0,40.2,MishaCirkunov,Misha Cirkunov,Male,2,35%,"6'3""",0.1,36%,38%,9,,122,"Riga, Latvia",1.4,77,https://www.fightstats.xyz/search?q=Misha Cirkunov,65%,64%,62%,1.5,4,Light Heavyweight,15
Center Octagon,Orthodox,Leg Kicks,Left Jab to Head,No Data,Crosses,Right Leg Kick,No Data,Jabs,Left Body Kick,No Data,0,0,14%,0,UFC,0,0,0,2,0,0,43%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4279621.png,66.7%,62.9%,-3,0,0.2,0.4,0,0.8,0,14.3%,0,100%,0.0%,0.0%,0.0%,42.9%,0.0%,0.0%,0.0%,0.0%,0.0%,0,43%,0,17,0,0,0,0,0,0,0,0,42.9%,41.0%,-4,0.2,0.4,0-1,0-0,0-0,0.0%,0,0%,0.0%,0.0%,0.0%,0.0%,0.0%,42.9%,0.0%,0.0%,0.0%,100%,100.0%,0%,0.0%,0%,0.0%,0%,0.0%,0%,0.0%,4,0,0,0,0,0,0,0,0,0,53.8%,52.1%,-7,0.4,0.8,0,0,1,0,1.1,0,0,0,0,0,0,0,0,100%,0%,,0,0,0,2.9,0.9,0,0,1.1,0,0,0.0%,0.0%,0.0%,0.0%,0.0%,0,6480bbde59b391b3ca0a19ac,0%,0,2.7,ModestasBukauskasThe Baltic Gladiator,Modestas Bukauskas,Male,0,0%,"6'3""",0.4,0%,17%,5,The Baltic Gladiator,8.9,"Klaipeda, Lithuania",0.4,78,https://www.fightstats.xyz/search?q=Modestas Bukauskas,100%,100%,83%,0.8,0,Light Heavyweight,14
Center Octagon,,Hooks,Right Jab to Head,No Data,Leg Kicks,Left Straight to Head,No Data,Crosses,Right Hook to Head,No Data,0,0,22%,0,UFC,0,0,0,2,0,0,74%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2335679.png,48.3%,63.9%,-24,0,0.3,0.7,0,0.7,0,0.0%,0,36%,0.0%,4.1%,0.0%,0.5%,0.0%,0.9%,1.4%,9.6%,0.0%,0,4%,0,40,5,0,12,19,1,1,13,0,54.7%,36.6%,20,4.4,8.1,0-1,0-0,0-1,3.2%,0,64%,0.0%,8.2%,1.4%,13.2%,2.7%,2.3%,0.5%,0.9%,0.5%,26%,26.1%,22%,21.7%,31%,30.8%,8%,7.5%,14%,13.8%,8,0,0,0,0,0,0,0,0,0,63.3%,47.7%,-4,7.5,11.8,0,1.2,1,1.2,1,2,0,18,17,6,3,11,0,29%,0.0%,,0,3.1,0,1.2,0.6,0,0.6,1,0,1.9,11.9%,25.6%,0.9%,0.5%,11.9%,0,6480bbde59b391b3ca0a19ad,27%,0,44.9,NateDiaz,Nate Diaz,Male,1,9%,"6'0""",0.9,36%,60%,13,,137.5,"Stockton, United States",1.9,76,https://www.fightstats.xyz/search?q=Nate Diaz,64%,64%,40%,2.8,1,Welterweight,22
Ground-Bottom,Orthodox,Crosses,Left Jab to Head,LeftJabHi + RightStraightHi + LeftJabHi + LeftJabHi,Jabs,Right Straight to Head,No Data,Hooks,Right Body Kick,No Data,0,3,13%,0,UFC,0,0.4,0,5,0,0,83%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3001914.png&w=350&h=254,60.8%,63.9%,22,0,0.5,0.9,0,0.7,0,1.1%,0,67%,0.0%,1.4%,0.0%,28.3%,0.0%,1.1%,0.0%,0.0%,0.0%,0,4%,0,58,0,0,0,0,0,0,0,0,45.2%,36.6%,74,3,6.7,1-2,2-0,0-0,5.7%,0,33%,1.1%,2.5%,0.0%,0.0%,0.0%,2.1%,0.0%,11.7%,0.4%,31%,30.7%,32%,31.6%,38%,37.7%,0%,0.0%,0%,0.0%,12,0.9,0,0,0,0,0,0,0,0,56.4%,47.7%,96,5.7,10.2,0,0.4,1,1.3,1,0,0,0,0,0,0,0,0,61%,50.0%,,0,1.3,0,0,0.6,0.4,0.4,1,0,0.9,2.5%,15.2%,0.4%,11.3%,15.5%,0.4,6480bbde59b391b3ca0a19ae,15%,0,41.6,NeilMagnyThe Haitian Sensation,Neil Magny,Male,3,23%,"6'3""",0.2,9%,31%,11,The Haitian Sensation,125.8,"Brooklyn, United States",0.9,80,https://www.fightstats.xyz/search?q=Neil Magny,62%,91%,69%,1.1,2,Welterweight,27
Center Octagon,,Jabs,Right Hook to Head,No Data,Crosses,Right Jab to Head,No Data,Body Kicks,Right Leg Kick,No Data,0,1.7,12%,0,UFC,0,0,0,3,0,0,71%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2504229.png,29.5%,66.0%,1,0,0.6,2.1,0,0.7,0,0.0%,0,23%,0.0%,1.2%,0.0%,2.5%,0.0%,1.2%,0.0%,10.0%,0.0%,0,17%,0,29,0,0,0,0,0,0,0,0,27.6%,41.7%,-18,1.7,6.2,0-1,0-1,0-0,6.2%,0,77%,1.2%,16.2%,1.2%,13.8%,1.2%,13.8%,2.5%,8.8%,0.0%,49%,49.5%,38%,38.4%,12%,12.1%,0%,0.0%,0%,0.0%,7,0,0,0,0,0,0,0,0,0,31.7%,52.9%,-17,2.9,9,0,0,1.1,0,1.2,0,0,0,0,0,0,0,0,0%,33.3%,,0,0,0,0,0.6,0,1.7,1.1,0,0,1.2%,2.5%,1.2%,6.2%,8.8%,0,6480bbdf59b391b3ca0a19af,4%,2,24.6,NikLentzThe Carny,Nik Lentz,Male,1,14%,"5'8""",0.6,37%,17%,12,The Carny,76.6,"El Paso, United States",2.2,68,https://www.fightstats.xyz/search?q=Nik Lentz,82%,63%,83%,2.8,1,Lightweight,30
Ground-Top,Switch,Hooks,Right Body Kick,RightStraightHi + LeftHookHi + RightHookHi + LeftHookHi + RightUppercutHi + RightUppercutHi,Jabs,Left Jab to Head,LeftJabHi + RightHookHi + RightUppercutHi,Crosses,Right Straight to Head,No Data,0,1.4,25%,0,UFC,0,4.1,0,8,0,0,65%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3026263.png,59.8%,62.9%,60,0,1,1.6,0.7,0.8,0,4.1%,0,39%,0.2%,2.1%,0.2%,5.5%,0.2%,3.0%,0.0%,0.5%,0.0%,0,10%,0,74,0,0,0,0,0,0,0,0,41.6%,41.0%,48,1.7,4,3-2,1-0,1-0,6.9%,0,61%,0.7%,4.4%,0.0%,2.8%,0.0%,1.8%,0.7%,5.3%,0.0%,48%,47.7%,27%,27.1%,25%,25.2%,0%,0.0%,0%,0.0%,17,0.7,0,0,0,0,0,0,0,0,59.3%,52.1%,108,6.1,10.2,0,2,1,3,1.1,0,0,0,0,0,0,0,0,65%,66.7%,,0,0.7,0.3,0,0.9,2,1.4,1.1,0,0.7,0.9%,3.9%,3.9%,16.7%,36.2%,4.1,6480bbdf59b391b3ca0a19b0,5%,0,47.3,NikitaKrylovThe Miner,Nikita Krylov,Male,5,51%,"6'3""",0.2,34%,62%,9,The Miner,142.9,N/A,0.7,,https://www.fightstats.xyz/search?q=Nikita Krylov,44%,66%,38%,0.9,3,Light Heavyweight,30
Center Octagon,Switch,Leg Kicks,Left Leg Kick,LeftLegKick + RightJabHi + RightJabHi,Hooks,Left Jab to Head,RightJabHi + LeftLegKick + LeftLegKick,Body Kicks,Left Body Kick,LeftJabHi + RightStraightHi + LeftHookHi + LeftHookHi,0,0,21%,0,UFC,0,0.5,0,4,0,0,47%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2500735.png,61.1%,62.9%,-37,0,0.9,1.5,0,0.8,0,17.6%,0,76%,0.0%,5.5%,1.1%,20.9%,1.1%,29.7%,0.0%,2.2%,0.0%,0,32%,0,49,0,0,0,0,0,0,0,0,25.8%,41.0%,-36,0.9,3.3,0-0,0-0,0-3,0.0%,0,24%,0.0%,2.2%,0.0%,3.3%,0.0%,1.1%,0.0%,4.4%,0.0%,36%,36.5%,30%,30.2%,16%,15.6%,6%,6.2%,11%,11.5%,11,0.5,0,0,0,0,0,0,0,0,38.0%,52.1%,-73,1.9,5.1,0,0,1,0.5,1.1,0,0,0,0,0,0,0,0,40%,100.0%,,0,0,2.6,0,0.9,0,1,1.1,0,0.5,0.0%,5.5%,1.1%,0.0%,4.4%,0.5,6480bbe059b391b3ca0a19b1,5%,0,13.3,OvinceSt. PreuxOSP,Ovince Saint Preux,Male,1,4%,"6'3""",1.7,22%,43%,0,OSP,43,,1.5,,https://www.fightstats.xyz/search?q=Ovince Saint Preux,91%,78%,57%,3.1,2,Light Heavyweight,0
Center Octagon,Orthodox,Hooks,Left Hook to Head,No Data,Leg Kicks,Right Hook to Head,No Data,Crosses,Right Leg Kick,No Data,0,0.7,14%,0,UFC,0,0,0,4,0,0,69%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/4008549.png,57.1%,66.0%,9,0,1.1,2,0,0.7,0,6.7%,0,51%,4.4%,14.1%,0.0%,5.2%,0.0%,6.7%,0.0%,0.7%,0.0%,0,17%,0,35,0,0,0,0,0,0,0,0,42.9%,41.7%,14,2.7,6.4,2-0,0-0,2-0,0.0%,0,49%,3.7%,11.1%,0.0%,1.5%,0.0%,8.1%,0.7%,3.7%,0.0%,69%,69.3%,26%,25.7%,5%,5.0%,0%,0.0%,0%,0.0%,7,0,0,0,0,0,0,0,0,0,49.9%,52.9%,23,5.2,10.4,0,0.7,1.1,0.7,1.2,0,0,0,0,0,0,0,0,26%,20.0%,,0,2.9,0.7,0,0.6,1.4,2.1,1.1,0,0.7,5.9%,12.6%,0.0%,1.5%,13.3%,0,6480bbe059b391b3ca0a19b2,14%,0,28.6,PaddyPimblettThe Baddy,Paddy Pimblett,Male,3,11%,"5'10""",0.9,70%,55%,3,The Baddy,87.9,"Liverpool, United Kingdom",1.1,73,https://www.fightstats.xyz/search?q=Paddy Pimblett,75%,30%,45%,2,1,Lightweight,20
Center Octagon,Orthodox,Jabs,Left Jab to Head,LeftJabHi + RightStraightHi + LeftJabHi,Hooks,Right Straight to Head,LeftJabHi + RightHookHi + RightStraightHi,Leg Kicks,Right Leg Kick,No Data,0,0.5,6%,0,UFC,0,0.5,0,6,0,0,78%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/2354264.png,68.1%,72.4%,4,0,0.9,1.3,0,0.7,0,0.3%,0,55%,0.0%,6.3%,0.6%,26.0%,0.0%,1.5%,0.3%,0.3%,0.0%,0,15%,0,54,2,1,38,86,43,5,74,0,39.8%,41.8%,23,4.4,11.1,3-2,0-1,0-0,0.6%,0,45%,0.3%,4.2%,0.3%,0.0%,0.0%,12.0%,1.2%,20.7%,1.5%,34%,33.6%,31%,31.1%,35%,35.3%,0%,0.0%,0%,0.0%,12,0.5,1,0,0,1,2,0,1,0,47.3%,54.8%,27,6.7,14.1,0,0,1,2.8,0.7,0,0,0,0,0,0,0,0,68%,26.7%,,0,0,0.5,1.4,0.8,0,0.5,1,0,0,2.4%,7.8%,2.1%,0.9%,10.8%,0.5,6480bbe059b391b3ca0a19b3,9%,0,47.2,ParkerPorter,Parker Porter,Male,1,11%,"6'0""",0.8,21%,34%,8,,145.7,"Hartford, United States",3.4,75,https://www.fightstats.xyz/search?q=Parker Porter,80%,79%,66%,4.2,5,Heavyweight,14
Center Octagon,Orthodox,Leg Kicks,Right Body Kick,No Data,Hooks,Left Leg Kick,No Data,Jabs,Left Jab to Head,No Data,0,0,25%,0,UFC,0,0.6,0,8,0,0,58%,0,0,0,0,0,https://a.espncdn.com/combiner/i?img=/i/headshots/mma/players/full/3946951.png,40.0%,62.9%,0,0,0.4,0.9,0.6,0.8,0,2.5%,0,75%,0.0%,0.0%,0.0%,3.8%,0.0%,7.5%,0.0%,0.0%,0.0%,0,17%,0,43,2,1,0,3,2,0,0,0,33.3%,41.0%,-15,0.6,1.7,2-2,1-0,1-0,8.8%,0,25%,1.2%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,1.2%,0.0%,93%,93.3%,6%,5.6%,1%,1.1%,0%,0.0%,0%,0.0%,12,1.2,3,0,0,0,0,0,0,0,54.3%,52.1%,-15,2.3,4.3,0,0,1,3.5,1.1,0,0,0,0,0,0,0,0,46%,38.5%,,0.6,0,0,1.2,0.9,1.2,1.7,1.1,0,0,0.0%,20.0%,0.0%,0.0%,55.0%,0.6,6480bbe159b391b3ca0a19b4,16%,1,15.6,PaulCraigBearjew,Paul Craig,Male,6,44%,"6'4""",0.4,0%,42%,6,Bearjew,47.5,"Airdrie, United Kingdom",0.4,76,https://www.fightstats.xyz/search?q=Paul Craig,40%,100%,58%,0.8,1,Light Heavyweight,16
Moving Backwards,Orthodox,Jabs,Right Body Kick,RightHighKick + RightHookHi + LeftJabHi,Hooks,Left Jab to Head,RightStraightLo + RightOverhand + RightBodyKick,Leg Kicks,Right Leg Kick,RightHighKick + LeftJabHi + RightStraightLo,0,0,47%,0,UFC,0,0,0,2,0,0,42%,0,0,0,0,0,https://dmxg5wxfqgb4u.cloudfront.net/2022-08/COSTA_PAULO_08-20.png,65.4%,63.0%,11,0,1.5,2.4,0,0.7,0,0.8%,0,41%,0.0%,3.2%,2.4%,13.5%,3.2%,0.0%,0.0%,0.0%,0.0%,0,11%,0,33,0,0,0,0,0,0,0,0,36.6%,41.4%,-59,2.2,6.1,0-0,0-1,0-1,25.4%,0,59%,3.2%,10.3%,4.8%,0.0%,0.0%,11.1%,0.0%,10.3%,5.6%,20%,19.5%,23%,23.3%,8%,8.3%,16%,15.8%,33%,33.1%,7,0.8,30,4,26,18,10,0,20,3,45.8%,51.2%,-48,4,8.7,0,0.8,0.7,0.8,1.2,3,0,0,3,4,0,0,0,87%,100.0%,,0,0,0,0.8,0.7,0,0,0.7,0,0.8,3.2%,0.0%,0.8%,0.0%,2.4%,0,6480bbe159b391b3ca0a19b5,3%,0,27.5,PauloCostaBorrachinha,Paulo Costa,Male,0,2%,"6'0""",1.2,39%,24%,2,Borrachinha,87.6,"State Of Minas Gerais, Brazil",3.9,72,https://www.fightstats.xyz/search?q=Paulo Costa,95%,61%,76%,5.1,2,Middleweight,14
